Name,Date Time,profile,company,Location,Start Date,Stipend,Duration,Apply by Date,Offer,Skills and Perks
INTERNATIONAL,2021-02-22 16:08:53,Software Project Management,IIT Bombay,Work From Home,Immediately, 1000-2000 /month,6 Months,4 Mar' 21,Internship,"['English Proficiency (Spoken)', 'English Proficiency (Written)', 'Hindi Proficiency (Spoken)', 'Hindi Proficiency (Written)', 'Certificate', ' Letter of recommendation', ' Flexible work hours', ' 5 days a week']"
INTERNATIONAL,2021-02-22 16:08:53,Proofreading (Sanskrit),IIT Bombay,Work From Home,Immediately, 1000 /month +  Incentives,6 Months,24 Feb' 21,Internship,"['HTML', 'CSS', 'LaTeX', 'Hindi Proficiency (Spoken)', 'Hindi Proficiency(Written)', 'Certificate', ' Letter of recommendation', ' Flexible work hours', ' 5 days a week']"
INTERNATIONAL,2021-02-22 16:08:54,Text Correction (Sanskrit),IIT Bombay,Work From Home,Immediately, 1000 /month +  Incentives,6 Months,28 Feb' 21,Internship,"['Hindi Proficiency (Spoken)', 'Hindi Proficiency (Written)', 'Certificate', ' Letter of recommendation', ' Flexible work hours', ' 5 days a week']"
INTERNATIONAL,2021-02-22 16:08:54,Human Resources (HR),GRIP At The Sparks Foundation,Work From Home,Immediately,Unpaid,1 Month,8 Mar' 21,Internship,"['Recruitment', 'Creative Writing', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Certificate', ' Letter of recommendation', ' Flexible work hours', ' 5 days a week']"
INTERNATIONAL,2021-02-22 16:08:56,Mobile App Development,AIMAKERY™ LONDON (UK),Work From Home,Immediately, 5000-10000 /month,3 Months,8 Mar' 21,Internship,"['Python', 'R Programming', 'iOS', 'Android', 'Blockchain', 'Certificate', ' Letter of recommendation', ' Flexible work hours', ' 5 days a week']"
INTERNATIONAL,2021-02-22 16:08:56,Graphic Design,AIMAKERY™ LONDON (UK),Work From Home,Immediately, 4000-8000 /month,3 Months,8 Mar' 21,Internship,"['WordPress', 'Search Engine Optimization (SEO)', 'Adobe XD', 'Certificate', ' Letter of recommendation', ' Flexible work hours', ' 5 days a week']"
INTERNATIONAL,2021-02-22 16:08:57,ReactJS Development,Pikkal & Company,Work From Home,Immediately, 10000 /month,3 Months,8 Mar' 21,Internship,"['HTML', 'CSS', 'JavaScript', 'Python', 'Django', 'Node.js', 'User Interface (UI) Development', 'UI & UX Design', 'ReactJS', 'Materialize', 'Letter of recommendation', ' 5 days a week']"
INTERNATIONAL,2021-02-22 16:08:58,Telecalling,Solve Foundation,Work From Home,Immediately,Unpaid,3 Months,8 Mar' 21,Internship,"['Certificate', ' Flexible work hours']"
INTERNATIONAL,2021-02-22 16:08:59,Content Writing,How I Got My Job,Work From Home,Immediately, 7000-14000 /month,1 Month,8 Mar' 21,Internship,"['Blogging', 'Creative Writing', 'English Proficiency (Written)', 'American English']"
INTERNATIONAL,2021-02-22 16:08:59,Application Tutoring,Solve Foundation,Work From Home,Immediately,Unpaid,2 Months,8 Mar' 21,Internship,"['English Proficiency (Spoken)', 'Hindi Proficiency (Spoken)', 'Certificate', ' Flexible work hours']"
INTERNATIONAL,2021-02-22 16:09:00,Social Media Marketing,Solve Foundation,Work From Home,Immediately,Unpaid,3 Months,8 Mar' 21,Internship,"['Certificate', ' Flexible work hours']"
INTERNATIONAL,2021-02-22 16:09:00,Graphic Design,Rajat Shree Foundation,Work From Home,Immediately, 16000 /month,1 Month,8 Mar' 21,Internship,"['MS-Word', 'Painting', 'Certificate', ' Letter of recommendation', ' Flexible work hours', ' 5 days a week']"
INTERNATIONAL,2021-02-22 16:09:01,Graphic Design,RunAddiction,Work From Home,Immediately, 6000 /month,3 Months,8 Mar' 21,Internship,"['Adobe Photoshop', 'Adobe Illustrator', 'Certificate', ' Letter of recommendation', ' Flexible work hours', ' 5 days a week']"
INTERNATIONAL,2021-02-22 16:09:02,Digital Marketing,MBA Glue,Work From Home,Immediately, 12000 /month,1 Month,8 Mar' 21,Internship,"['Video Making', 'Certificate', ' Flexible work hours', ' 5 days a week']"
INTERNATIONAL,2021-02-22 16:09:02,Content Writing,Market Forever Limited,Work From Home,Immediately, 1000 /month,3 Months,8 Mar' 21,Internship,"['Creative Writing', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'British English', 'Certificate']"
INTERNATIONAL,2021-02-22 16:09:03,Business Development (Sales),Stewards,Work From Home,Immediately, 7000-10000 /month,3 Months,7 Mar' 21,Internship,"['Digital Marketing', 'Salesforce', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Letter of recommendation', ' Flexible work hours', ' 5 days a week']"
INTERNATIONAL,2021-02-22 16:09:04,Human Resources (HR),Tutor Here,Work From Home,Immediately,Unpaid,3 Months,7 Mar' 21,Internship,"['English Proficiency (Spoken)', 'English Proficiency (Written)', 'Letter of recommendation', ' Flexible work hours']"
INTERNATIONAL,2021-02-22 16:09:04,Search Engine Optimization (SEO),Boyd Private Limited,Work From Home,Immediately, 2000 /month,2 Months,7 Mar' 21,Internship,"['Google Analytics', 'Search Engine Marketing (SEM)', 'Search Engine Optimization (SEO)', 'Certificate', ' Letter of recommendation', ' Flexible work hours', ' 5 days a week']"
INTERNATIONAL,2021-02-22 16:09:05,Digital Marketing,Kozzby Marketing,Work From Home,Immediately, 7000 /month,3 Months,7 Mar' 21,Internship,"['Digital Marketing', 'Facebook Marketing', 'Instagram Marketing', 'Certificate', ' Letter of recommendation', ' Flexible work hours']"
INTERNATIONAL,2021-02-22 16:09:06,Content Writing,Unique World Education,Work From Home,Immediately, 5000 /month,6 Months,6 Mar' 21,Internship,"['Certificate', ' Letter of recommendation', ' Flexible work hours']"
INTERNATIONAL,2021-02-22 16:09:06,Human Resources (HR),Artify,Work From Home,Immediately, 1000 /month,4 Months,6 Mar' 21,Internship,"['English Proficiency (Spoken)', 'Certificate', ' Letter of recommendation']"
INTERNATIONAL,2021-02-22 16:09:07,Mobile App Development,1MoreThing,Work From Home,Immediately, 10000 /month,3 Months,6 Mar' 21,Internship,"['Certificate', ' Letter of recommendation', ' Flexible work hours', ' 5 days a week']"
INTERNATIONAL,2021-02-22 16:09:07,Content Writing,Kidadl,Work From Home,Immediately, 15000-18000 /month,3 Months,6 Mar' 21,Internship,[]
INTERNATIONAL,2021-02-22 16:09:08,Social Media Marketing,Market Forever Limited,Work From Home,Immediately, 1000 /month,3 Months,6 Mar' 21,Internship,"['Social Media Marketing', 'Certificate']"
INTERNATIONAL,2021-02-22 16:09:09,Operations,Solve Foundation,Work From Home,Immediately,Unpaid,3 Months,5 Mar' 21,Internship,"['Certificate', ' Flexible work hours']"
INTERNATIONAL,2021-02-22 16:09:09,Digital Marketing,Water Town Swim School,Work From Home,Immediately, 15000 /month,1 Month,5 Mar' 21,Internship,"['Certificate', ' Letter of recommendation', ' Flexible work hours', ' 5 days a week']"
INTERNATIONAL,2021-02-22 16:09:10,Web Development,Anaya Cybertech Pllc,Work From Home,Immediately, 5000 /month,2 Months,5 Mar' 21,Internship,"['Java', 'MySQL', 'JavaScript', 'Python', 'WordPress', 'Vue Js', 'Certificate', ' Flexible work hours', ' 5 days a week']"
INTERNATIONAL,2021-02-22 16:09:11,Content Writing,Looxdo,Work From Home,Immediately, 4000-7000 /month,3 Months,5 Mar' 21,Internship,"['Search Engine Optimization (SEO)', 'Creative Writing', 'Report Writing', 'English Proficiency (Written)', 'Certificate', ' Letter of recommendation']"
INTERNATIONAL,2021-02-22 16:09:11,Video Making/Editing,Fleksa,Work From Home,Immediately, 5000 /month,2 Months,5 Mar' 21,Internship,"['Video Editing', 'Video Making', 'Certificate', ' Letter of recommendation', ' Flexible work hours', ' 5 days a week']"
INTERNATIONAL,2021-02-22 16:09:12,Tele Sales,Eqwid Media Technologies Limited,Work From Home,Immediately, 15000 lump sum +  Incentives,3 Months,5 Mar' 21,Internship,"['Certificate', ' Letter of recommendation', ' Flexible work hours', ' 5 days a week']"
INTERNATIONAL,2021-02-22 16:09:13,Social Media Marketing,Looxdo,Work From Home,Immediately, 4000-7000 /month,3 Months,5 Mar' 21,Internship,"['Blogging', 'Google Analytics', 'Search Engine Marketing (SEM)', 'Search Engine Optimization (SEO)', 'Facebook Marketing', 'Certificate', ' Letter of recommendation']"
INTERNATIONAL,2021-02-22 16:09:14,Operations,Solve Foundation,Work From Home,Immediately,Unpaid,3 Months,5 Mar' 21,Internship,"['Certificate', ' Flexible work hours']"
INTERNATIONAL,2021-02-22 16:09:14,Graphic Design,Eurenice Houndjahoue,Work From Home,Immediately, 5500 /month,2 Months,5 Mar' 21,Internship,"['Adobe Photoshop', 'Adobe Illustrator', 'Adobe Creative Suite', 'Adobe Indesign', 'Flexible work hours']"
INTERNATIONAL,2021-02-22 16:09:15,Project Management,Solve Foundation,Work From Home,Immediately,Unpaid,4 Months,5 Mar' 21,Internship,"['Certificate', ' Flexible work hours']"
INTERNATIONAL,2021-02-22 16:09:16,Web Development,Exam-Practice,Work From Home,Immediately, 5000 /month,2 Months,4 Mar' 21,Internship,"['Node.js', 'Docker', 'ReactJS', 'Firebase', 'Certificate', ' Letter of recommendation', ' Flexible work hours']"
INTERNATIONAL,2021-02-22 16:09:16,Marketing,Food Vybe,Work From Home,Immediately, 1000 /month,3 Months,4 Mar' 21,Internship,"['Social Media Marketing', 'Digital Marketing', 'Search Engine Optimization (SEO)', 'Email Marketing', 'Certificate', ' Letter of recommendation', ' Flexible work hours']"
INTERNATIONAL,2021-02-22 16:09:17,Front End Development,Food Vybe,Work From Home,Immediately, 1000 /month,3 Months,4 Mar' 21,Internship,"['Java', 'HTML', 'jQuery', 'Bootstrap', 'ReactJS', 'Sass', 'Certificate', ' Letter of recommendation', ' Flexible work hours']"
INTERNATIONAL,2021-02-22 16:09:18,Business Development (Sales),Eqwid Media Technologies Limited,Work From Home,Immediately, 21000 lump sum +  Incentives,3 Months,4 Mar' 21,Internship,"['Certificate', ' Letter of recommendation', ' Flexible work hours', ' 5 days a week']"
INTERNATIONAL,2021-02-22 16:09:18,Research (Deep Learning) & Algo Trading,Crowd Wisdom Trading,Work From Home,Immediately, 5000 /month,6 Months,4 Mar' 21,Internship,"['Machine Learning', 'C++ Programming', 'Deep Learning', 'Artifical Intelligence', 'Letter of recommendation', ' Flexible work hours']"
INTERNATIONAL,2021-02-22 16:09:19,C++ Development,Crowd Wisdom Trading,Work From Home,Immediately, 5000 /month,3 Months,4 Mar' 21,Internship,"['C++ Programming', 'Letter of recommendation', ' Flexible work hours']"
INTERNATIONAL,2021-02-22 16:09:21,Data Science & Business Analytics,GRIP At The Sparks Foundation,Work From Home,Immediately,Unpaid,1 Month,4 Mar' 21,Internship,"['Python', 'Data Analytics', 'R Programming', 'Data Science', 'Power BI', 'Tableau', 'Certificate', ' Letter of recommendation', ' Flexible work hours', ' 5 days a week']"
INTERNATIONAL,2021-02-22 16:09:21,Journalism,ChalkPlay,Work From Home,Immediately, 7000-14000 /month,2 Months,4 Mar' 21,Internship,"['Creative Writing', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Hindi Proficiency (Spoken)', 'Hindi Proficiency (Written)', 'Certificate', ' Letter of recommendation', ' Flexible work hours', ' 5 days a week']"
INTERNATIONAL,2021-02-22 16:09:22,Graphic Design,Social Spil,Work From Home,Immediately, 15000-22000 /month,3 Months,4 Mar' 21,Internship,"['Adobe Photoshop', 'Certificate', ' Letter of recommendation', ' Flexible work hours', ' 5 days a week']"
INTERNATIONAL,2021-02-22 16:09:23,Graphic Design,M Streme,Work From Home,Immediately, 1000 /month,1 Month,4 Mar' 21,Internship,['Certificate']
INTERNATIONAL,2021-02-22 16:09:24,Graphic Design,Gamers Prestige,Work From Home,Immediately, 1000 lump sum,1 Month,4 Mar' 21,Internship,"['Certificate', ' Flexible work hours']"
INTERNATIONAL,2021-02-22 16:09:24,Social Media Marketing,Mbo'Wam,Work From Home,Immediately, 8000 /month +  Incentives,3 Months,4 Mar' 21,Internship,"['Email Marketing', 'Instagram Marketing', '5 days a week']"
INTERNATIONAL,2021-02-22 16:09:25,Media & Public Relations (PR),Green Canvas,Work From Home,Immediately, 3000 /month,1 Month,4 Mar' 21,Internship,"['Letter of recommendation', ' Flexible work hours']"
INTERNATIONAL,2021-02-22 16:09:25,Resource Development (Physics),Contour Education,Work From Home,Immediately, 2000 /month +  Incentives,3 Months,4 Mar' 21,Internship,"['MS-Word', 'Physics', 'Mathematics', 'Creative Writing', 'English Proficiency (Written)', 'Certificate', ' Letter of recommendation', ' Flexible work hours']"
INTERNATIONAL,2021-02-22 16:09:26,Machine Learning Application Development,Tiny Banyan Technologies Private Limited,Work From Home,Immediately, 15000-20000 /month,3 Months,4 Mar' 21,Internship,"['HTML', 'JavaScript', 'Python', 'ReactJS', 'Flask', 'Google Cloud Computing', 'Flexible work hours']"
INTERNATIONAL,2021-02-22 16:09:27,Content Writing,PNK Company,Work From Home,Immediately, 10000 /month,6 Months,4 Mar' 21,Internship,"['Creative Writing', 'English Proficiency (Written)', 'Certificate', ' Letter of recommendation', ' Flexible work hours', ' 5 days a week']"
INTERNATIONAL,2021-02-22 16:09:28,Digital Marketing,Fleksa,Work From Home,Immediately, 5000 /month,3 Months,4 Mar' 21,Internship,"['Google Analytics', 'Search Engine Marketing (SEM)', 'Google AdWords', 'Search Engine Optimization (SEO)', 'Facebook Marketing', 'Certificate', ' Letter of recommendation', ' Flexible work hours', ' 5 days a week']"
INTERNATIONAL,2021-02-22 16:09:28,Graphic Design,WAT Media Private Limited,Work From Home,Immediately, 5000 /month,6 Months,3 Mar' 21,Internship,"['Adobe Photoshop', 'CorelDRAW', 'Adobe Illustrator', 'Certificate', ' 5 days a week']"
INTERNATIONAL,2021-02-22 16:09:29,Digital Marketing,Print Online (UAE),Work From Home,Immediately, 6000 /month,3 Months,3 Mar' 21,Internship,"['Google Analytics', 'Search Engine Marketing (SEM)', 'Google AdWords', 'Search Engine Optimization (SEO)', 'Certificate', ' Letter of recommendation', ' Flexible work hours', ' 5 days a week']"
INTERNATIONAL,2021-02-22 16:09:30,MEAN Stack Development,Edufied,Work From Home,Immediately, 8000-15000 /month,6 Months,3 Mar' 21,Internship,"['MongoDB', 'AngularJS', 'Node.js', 'GitHub', 'Express.js', 'Certificate', ' Flexible work hours', ' 5 days a week']"
INTERNATIONAL,2021-02-22 16:09:30,Web Development,Edufied,Work From Home,Immediately, 8000-15000 /month,6 Months,3 Mar' 21,Internship,"['Linux', 'DevOps', 'Certificate', ' Flexible work hours', ' 5 days a week']"
INTERNATIONAL,2021-02-22 16:09:31,Web Development,Knitter,Work From Home,Immediately, 10000 lump sum,2 Months,3 Mar' 21,Internship,"['PHP', 'ReactJS', 'Certificate', ' Letter of recommendation', ' Flexible work hours', ' 5 days a week']"
INTERNATIONAL,2021-02-22 16:09:32,Software & Artificial Intelligence (AI),Reflective AI,Work From Home,Immediately, 20000 /month,3 Months,3 Mar' 21,Internship,"['OpenCV', 'Python', 'Image Processing', 'Computer Vision', 'C++ Programming', 'Deep Learning', 'Certificate', ' Letter of recommendation', ' Flexible work hours']"
INTERNATIONAL,2021-02-22 16:09:32,Mobile App Development,JanaVikas Kendra,Work From Home,Immediately, 10000 /month,2 Months,3 Mar' 21,Internship,"['Android', 'Certificate', ' Letter of recommendation', ' Flexible work hours']"
INTERNATIONAL,2021-02-22 16:09:33,Web Development,ValueMantra Pte Limited,Work From Home,Immediately, 3000 /month,4 Months,3 Mar' 21,Internship,"['Machine Learning', 'Natural Language Processing (NLP)', 'Artifical Intelligence', 'Certificate', ' Letter of recommendation', ' Flexible work hours']"
INTERNATIONAL,2021-02-22 16:09:33,Marketing,Lumenci,Work From Home,Immediately, 9000 /month,1 Month,3 Mar' 21,Internship,"['Digital Marketing', 'Email Marketing', 'Certificate', ' 5 days a week']"
INTERNATIONAL,2021-02-22 16:09:34,Content Writing,ValueMantra Pte Limited,Work From Home,Immediately, 3000 /month,4 Months,3 Mar' 21,Internship,"['Creative Writing', 'English Proficiency (Written)', 'Certificate', ' Letter of recommendation', ' Flexible work hours']"
INTERNATIONAL,2021-02-22 16:09:35,Social Media Marketing,ValueMantra Pte Limited,Work From Home,Immediately, 3000 /month,4 Months,3 Mar' 21,Internship,"['HTML', 'Social Media Marketing', 'Search Engine Marketing (SEM)', 'Digital Marketing', 'Google AdWords', 'Search Engine Optimization (SEO)', 'Facebook Marketing', 'Email Marketing', 'Video Making', 'Certificate', ' Letter of recommendation', ' Flexible work hours']"
INTERNATIONAL,2021-02-22 16:09:36,Content Writing,Bless Naturally,Work From Home,Immediately, 3250 /month,4 Months,3 Mar' 21,Internship,"['Creative Writing', 'English Proficiency (Written)', 'British English', 'Certificate', ' Letter of recommendation', ' Flexible work hours']"
INTERNATIONAL,2021-02-22 16:09:36,Motion Graphic Design/2D/3D Animation Creation,Medclick Private Limited,Work From Home,Immediately, 3000 /month +  Incentives,6 Months,3 Mar' 21,Internship,"['Adobe Photoshop', 'Adobe Illustrator', 'Adobe Premiere Pro', 'Adobe After Effects', 'Certificate', ' Letter of recommendation', ' 5 days a week']"
INTERNATIONAL,2021-02-22 16:09:37,Business Development (Sales),Reflective AI,Work From Home,Immediately, 30000 /month,3 Months,3 Mar' 21,Internship,"['Digital Marketing', 'Email Marketing', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Certificate', ' Letter of recommendation', ' Flexible work hours']"
INTERNATIONAL,2021-02-22 16:09:38,Search Engine Optimization (SEO),Market Forever Limited,Work From Home,Immediately, 1000 /month,3 Months,3 Mar' 21,Internship,"['WordPress', 'MS-Word', 'MS-PowerPoint', 'MS-Excel', 'Certificate', ' Letter of recommendation']"
INTERNATIONAL,2021-02-22 16:09:38,Web Development,Santosh Tandrothu,Work From Home,Immediately, 10000 /month,2 Months,3 Mar' 21,Internship,"['HTML', 'CSS', 'Django', 'ReactJS', 'MEAN/MERN Stack', 'Letter of recommendation', ' Flexible work hours']"
INTERNATIONAL,2021-02-22 16:09:39,Graphic Design,Santosh Tandrothu,Work From Home,Immediately, 5000 /month,1 Month,3 Mar' 21,Internship,"['Letter of recommendation', ' Flexible work hours']"
INTERNATIONAL,2021-02-22 16:09:40,Graphic Design,Solve Foundation,Work From Home,Immediately,Unpaid,2 Months,3 Mar' 21,Internship,"['Certificate', ' Flexible work hours']"
